,south,north,east,west
2013-07-15,1.579875368339694,1.6442566546218855,1.6221913595555777,1.5280845692647524
2013-07-15,1.3491605131801496,1.3503304446519993,1.33104065768589,1.3481347438752784
2013-07-26,1.2847814940059326,1.3180981385940589,1.3258962492229054,1.331447712704061
2013-07-27,1.292026897214217,1.3433852619137514,1.299559471365639,1.225837456836709
2013-08-01,2.2324573286372256,2.1848802309134183,2.201814560743527,2.198532730070933
2013-08-02,1.7206863679694946,1.7461786742398548,1.690160073722652,1.7557551005356369
2013-08-05,1.2079471057237308,1.193464765672966,1.2495191691242467,1.2923919828004706
2013-08-06,1.3507449554199908,1.3506023512804723,1.4088828552821069,1.3589624728713203
2013-08-06,1.1503396942751527,1.130871336118241,1.1990335599809523,1.2427021715254627
2013-08-06,1.471123746246726,1.4518696489805636,1.5246825956183803,1.5204271670713592
2013-08-06,2.1743543742032956,2.122568156855922,2.0578383954768955,2.137082076940919
2013-08-06,1.6622753194253954,1.686744385008253,1.7215503424158531,1.6954967270432975
2013-08-08,1.4016754103909292,1.3238746897430738,1.2568358153951444,1.3314335185051585
2013-08-10,1.2798700319436258,1.1932122755293488,1.1908481520153673,1.2249311836413683
2013-08-10,1.1392953466518592,1.1932122755293488,1.1908481520153673,1.2249311836413683
2013-08-11,1.5757496492521337,1.587180048129512,1.6545254964574394,1.625699694280684
2013-08-15,1.363739104637857,1.3441491704595507,1.262493128365445,1.3053502035724223
2013-08-15,1.1664874270454462,1.2527122387943,1.262493128365445,1.2253998148309344
2013-08-17,1.5097379451937607,1.45764813716504,1.4495070610178522,1.5065635649556064
2013-08-17,1.2854160091286506,1.2482438377668872,1.2851405622489958,1.2765613062788923
2013-08-19,1.1788730444413673,1.1491510376206855,1.1332144068541854,1.1875731003011882
2013-08-28,1.2326944614333708,1.1693637774329417,1.1795535365195213,1.206275520501793
2013-08-28,1.1234698383512256,1.1693637774329417,1.1795535365195213,1.206275520501793
2013-08-29,1.5124751600794875,1.5804851112228329,1.5215917277620037,1.500848776900752
2013-09-01,1.1267115588433665,1.1924785426294973,1.2342142744105085,1.1729555525715054
2013-09-01,1.1267115588433665,1.1213209810315417,1.114811744189371,1.1729555525715054
2013-09-01,1.1267115588433665,1.1924785426294973,1.114811744189371,1.1729555525715054
2013-09-02,1.2446769880830555,1.2201898976595413,1.1702127659574473,1.1802374497522672
2013-09-03,1.506692027556772,1.5871828072712602,1.6044156570057044,1.5945035883133225
2013-09-03,1.265414661705402,1.3432336658744506,1.3035435226862921,1.2606895068036355
2013-09-04,1.8007974496656918,1.8361069373174952,1.821991665796543,1.7627968120943225
2013-09-05,1.1542816617698763,1.1761232637912615,1.1397188255450985,1.1008770384981152
2013-09-11,1.5443307107805755,1.596755601788074,1.5906533643387595,1.571968350380384
2013-09-12,1.4484395386253213,1.4935347782949238,1.5463385142454087,1.4580581241743724
2013-09-12,1.2904065434889576,1.2062922256028044,1.1684146411100744,1.2020147018785732
2013-09-20,1.1124665040195176,1.1576725811592663,1.183769035065079,1.203083220546001
2013-09-20,1.1934768084049994,1.1576725811592663,1.183769035065079,1.203083220546001
2013-09-25,1.2943807847825795,1.3613494452180943,1.326938560204337,1.243329276284992
2013-09-27,1.1736034090245753,1.1741027763147993,1.1674687719677717,1.1702843471976474
2013-09-30,1.2264150943396224,1.1614445818947208,1.2059094354277984,1.1701660692076965
2013-10-05,1.1855735219807986,1.2720162645478499,1.192529181912495,1.1555132578256035
2013-10-07,1.1416313964573934,1.1380071490931853,1.1735884274381707,1.1483352814750578
2013-10-21,1.2611806797853307,1.3568712434067962,1.3117044396150266,1.2502483937206064
2013-10-21,1.4397549353301566,1.3568712434067962,1.4268828098615334,1.4370003806623524
2013-10-25,1.271529618627699,1.2852728677239063,1.3294577296445125,1.2446924987315409
2013-10-30,1.2690653109112244,1.2430120464249554,1.3150968227110358,1.2750952331926284
2013-11-06,1.2412196469443053,1.2881248822022902,1.3392780954006314,1.2541512716189596
2013-11-06,1.2412196469443053,1.2881248822022902,1.209261114107404,1.2541512716189596
2013-11-07,1.2662109178646828,1.2893075827192875,1.2570079168223982,1.236014917421417
2013-11-08,1.3019098803456832,1.2077748946604132,1.2689807715793902,1.2379323193658751
2013-11-17,1.6730125871023789,1.650124069478908,1.6755933142487747,1.7354505884249551
2013-11-17,1.6730125871023789,1.650124069478908,1.7332123411978204,1.7354505884249551
2013-11-17,1.2522308149910768,1.2328370314582004,1.2575369048444092,1.2122065199031582
2013-11-17,1.2522308149910768,1.2328370314582004,1.2269254175400621,1.2122065199031582
2013-11-17,1.2522308149910768,1.2328370314582004,1.1977688296257165,1.2122065199031582
2013-11-17,1.2522308149910768,1.2328370314582004,1.1434242863444437,1.2122065199031582
2013-11-17,1.2522308149910768,1.2328370314582004,1.3064295485636102,1.2122065199031582
2013-11-19,1.6262683201803834,1.6347277401261981,1.6106054064977173,1.6147141029892458
2013-11-19,1.3595664467483504,1.3395617322791566,1.3402609513181325,1.329108988106843
2013-11-19,1.158169409875552,1.1755455789498959,1.2043835729347683,1.1082030106967515
2013-11-23,2.3235036861177063,2.3526297211436638,2.292940707258708,2.231833910034602
2013-11-26,1.2071256457802408,1.1222091656874265,1.1048342285608446,1.1304489564944609
2013-12-06,1.3657878193987352,1.3019814490691775,1.3588039867109636,1.3390940513007092
2013-12-06,1.1603468317049415,1.1062819605379313,1.1072008662696264,1.2063653348192336
2013-12-08,1.226001315815706,1.1794967422065241,1.2199677532794122,1.1392770238065375
2013-12-08,1.104455898992439,1.1794967422065241,1.2199677532794122,1.1392770238065375
2013-12-12,1.250671120921076,1.156507081939168,1.1268403171007924,1.193075614599031
2013-12-13,1.4651843962188793,1.4157290337547845,1.4623370448151525,1.5258433281809238
2013-12-13,1.1253706922998266,1.1644881213624652,1.1289730490379026,1.1895617319353777
2013-12-13,1.1253706922998266,1.1098481404019276,1.1289730490379026,1.1895617319353777
2013-12-15,1.3332673411759801,1.3534786234584752,1.3477033464682702,1.4168096850503271
2013-12-17,1.4427993349854131,1.4419632695602174,1.4455867602808425,1.359322033898305
2013-12-18,1.4316315879667854,1.4834990600013587,1.5708181251669189,1.5211339644315502
2013-12-19,1.1284882406496513,1.1848272429383213,1.187386587642459,1.1947762995634956
2013-12-20,1.238645060393305,1.190949070790183,1.2158081881567706,1.2238107991182712
2013-12-20,1.238645060393305,1.190949070790183,1.1513139331464795,1.2238107991182712
2013-12-21,1.184395351806921,1.1562617761587741,1.183466562682784,1.101945407932439
2013-12-22,1.2069526194270106,1.2472406181015452,1.1797248803827751,1.2207089925896253
2013-12-24,1.1771300448430493,1.2031663680367983,1.1545732975384735,1.1150761533367666
2013-12-26,1.2220453065064771,1.2865185236987955,1.2631831490711818,1.2937092099501657
2013-12-26,1.3310397639613056,1.2865185236987955,1.2631831490711818,1.2937092099501657
2013-12-27,1.764436661758268,1.681339047839685,1.7081942550890885,1.695978826944421
2013-12-27,1.2657378593656325,1.3246030297499545,1.2555720653789006,1.3465057954314377
2013-12-30,1.3148721773610468,1.2476759254042478,1.2649630421036566,1.3410797686555724
2013-12-30,1.3148721773610468,1.3466918024811478,1.2649630421036566,1.3410797686555724
